Status,Project,,,,,,,,,,,,,,,,,,,,Campaign Summary (Updated 6/7/2569),,,,,,,,,,,,
In Process,Molly Tea Truck (Mega Bangna),,,,,,,,,,,,,,,,,,,,Followers,,Cost,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,Total View,,Cost/View,,,,,,,,,,
,,,,,,0,16,,,,,*** Molly Tea กรอก ***,,,*** Molly Tea กรอก ***,,,,,,Total Reach,,Cost/Reach,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,Total Engagement,,Cost/Engagement,,,,,,,,,,
No.,Status,Tiktok Channel,Tiktok Link,Followers TT,KOL Confirm,Foxtells Confirm,Molly Tea Confirm,วันและเวลาเข้าถ่าย,Caption,Draft 1,Foxtells Suggestion (Draft 1),Molly Tea Comment (Draft 1),Draft 2,Foxtells Suggestion (Draft 2),Molly Tea Comment (Draft 2),Draft 3,Foxtells Suggestion (Draft 3),Client Comment (Draft 3),Link Post,Gen Code,Tiktok - View,Tiktok - Reach,Tiktok - Like,Tiktok - Share,Tiktok - Save,Tiktok - Comment,Reels - View,Reels - Like,Reels - Comment,Reels - Share,Reels - Repost,Reels - Save,Note
17,Non-selected,mornmellodyz,https://www.tiktok.com/@mornmellodyz,"147,700",TRUE,,,"Mega Bangna
8 มิ.ย. 69 - 12.00",,,,,,,,,,,,,,,,,,,,,,,,,
18,Non-selected,boattnp_,https://www.tiktok.com/@boattnp_,"11,600",TRUE,,,"Mega Bangna
8 มิ.ย. 69 - 12.00",,,,,,,,,,,,,,,,,,,,,,,,,
19,Non-selected,aineeye,https://www.tiktok.com/@aineeye,"10,600",TRUE,,FALSE,"Mega Bangna
8 มิ.ย. 69 - 12.00",,,,,,,,,,,,,,,,,,,,,,,,,
20,Non-selected,kii_mikumi,https://www.tiktok.com/@kii_mikumi,"45,200",TRUE,,,"Mega Bangna
8 มิ.ย. 69 - 12.00",,,,,,,,,,,,,,,,,,,,,,,,,
21,Non-selected,qngap,https://www.tiktok.com/@qngap,"10,500",TRUE,,,"Mega Bangna
8 มิ.ย. 69 - 12.00",,,,,,,,,,,,,,,,,,,,,,,,,
22,Non-selected,pooh.monster,https://www.tiktok.com/@pooh.monster,"120,300",TRUE,,,"Mega Bangna
8 มิ.ย. 69 - 12.00",,,,,,,,,,,,,,,,,,,,,,,,,
36,Non-selected,minixx_t,https://www.tiktok.com/@minixx_t,"13,600",TRUE,,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,extra
24,Non-selected,graphic.review,https://www.tiktok.com/@graphic.review,"31,700",TRUE,,,"Mega Bangna
8 มิ.ย. 69 - 12.00",,,,,,,,,,,,,,,,,,,,,,,,,
6,Done,jahismmm,https://www.tiktok.com/@jahismmm,"48,100",TRUE,,TRUE,"Mega Bangna
22 มิ.ย. 69 - 15:00","มาแล้วว Molly Tea สุดคิ้วท์💗
ในตีม Molly Tea Truck @Mega Bangna
แจกโค้ดลด 12% ท้ายคลิปด้วยย~
#mollytea #mollyteaTH #mollyteatruck #อร่อยบอกต่อ #รีวิวคาเฟ่",https://drive.google.com/drive/folders/1F4VIwpbqXdTgX95ch3RSVwfgT5vjKmHs,ผ่าน,"0.37 Molly Tea Truck สะกดผิดนะคะ

หากแก้แล้ว สามารถลงได้เลยค่ะ",,,,,,,"TikTok Video: https://vt.tiktok.com/ZSCjKe3EC/
IG Reels: https://www.instagram.com/reel/DaCY7SnRbAa/",TikTok Video: #4nPEOxxXPXQctN9hEOZa863KrbL/r1hx18Wmc1cnIZO/ozKo31a8hCDl+zp/5Is=,"12,800",6100,110,3,9,16,3395,141,0,1,0,0,
26,Non-selected,vegissy,https://www.tiktok.com/@vegissy,"22,100",TRUE,,,"Mega Bangna
8 มิ.ย. 69 - 12.00",,,,,,,,,,,,,,,,,,,,,,,,,
13,cancel,pooganginkgo,https://www.tiktok.com/@pooganginkgo,"33,400",TRUE,,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,
28,Non-selected,nnonktp,https://www.tiktok.com/@nnonktp,"13,600",TRUE,,,"Mega Bangna
8 มิ.ย. 69 - 12.00",,,,,,,,,,,,,,,,,,,,,,,,,
29,Non-selected,mycookiehouse,http://www.tiktok.com/@mycookiehouse,"23,600",TRUE,,FALSE,"Mega Bangna
8 มิ.ย. 69 - 12.00",,,,,,,,,,,,,,,,,,,,,,,,,
30,Non-selected,flukexway,https://www.tiktok.com/@flukexway,"4,119",TRUE,,,"Mega Bangna
8 มิ.ย. 69 - 12.00",,,,,,,,,,,,,,,,,,,,,,,,,
7,Done,papainhaii,https://www.tiktok.com/@papainhaii,"20,300",TRUE,,TRUE,"Mega Bangna
22 มิ.ย. 69 - 13:00","💗Molly Tea Truck มาแล้วที่ Mega Bangna🧋✨

เดือนมิถุนายนนี้ Molly Tea ยก Pop-Up Store มาในรูปแบบ Molly Tea Truck ตั้งอยู่โซน Outdoor Mega Bangna

✨ โปรพิเศษสำหรับคนดูช่อง ภาไปไหน
พิมพ์คำว่า MOLLYTEAMEGABANGNA ส่งที่บ้านเขียว >> รับคูปองส่วนลด 12% ทั้งออเดอร์

📍 Molly Tea Truck @ Mega Bangna
📅 วันนี้ - 30 มิ.ย. 69
🎟️ ส่วนลดใช้ได้เฉพาะสาขา Mega Bangna เท่านั้น

#mollytea #mollyteaTH #mollyteatruck ",https://drive.google.com/drive/folders/1o9tfzH-ZxJ6U8ZpF2egcikRKe-5jWWW9,-,0.52 voice over รบกวนไม่ต้องแจ้งว่าตั้งถึงวันไหนนะคะ ทางร้านจะตั้งยาวๆจนถึงเดือนพฤศจิกายนเลยค่ะ แต่ไม่ต้องแจ้งในคลิปก็ได้ค่ะ,https://drive.google.com/file/d/1DTY78Eqb15sSV0DJdNbExIJXzdZFgUV3/view?usp=drivesdk,ผ่าน,approved,,,,"TikTok Video: https://vt.tiktok.com/ZSCDpxfN3/
IG Reels: https://www.instagram.com/reel/DaKAFE9z9iv/",TikTok Video: #zj0lI4XytIszXDy6ZbQQsY82a3KE/xG3nqr7EOttSTosuCDaygNfx6uVuT9NstE=,"2,120",365,20,10,2,3,579,16,0,0,0,0,
32,Non-selected,smxxe.98,https://www.tiktok.com/@smxxe.98,"22,100",TRUE,,,"Mega Bangna
8 มิ.ย. 69 - 12.00",,,,,,,,,,,,,,,,,,,,,,,,,
8,Done,any.anyavee,https://www.tiktok.com/@any.anyavee,"32,200",TRUE,,TRUE,"Mega Bangna
22 มิ.ย. 69 - 14:00","ถ้านี้ Pop up Store ที่น่ารักที่สุด และมาพร้อมกับชาที่หอมอร่อยฟินน~ 🫖💖 

#mollytea #mollyteaTH #mollyteatruck

🫶🏻 รายละเอียดกิจกรรม -12% ใครที่ตามมาจากช่องนี้
- กรอกคำว่า MOLLYTEAMEGABANGNA และส่งไปที่บ้านเขียว MOLLY TEA รับทันที -12% ทั้งออเดอร์ 
- ใช้ได้ตั้งแต่วันนี้จนถึง 30 มิ.ย. 69 เท่านั้น! 
- ใช้ได้เฉพาะสาขา MEGA BANGNA เท่านั้น 
",https://drive.google.com/file/d/170HyLPip4poJcgOrQhEJmKPQmcX_5E4J/view?usp=drivesdk,-,"0.04 voice over รบกวนตัดคำว่า ""เมนูใหม่"" ออก เนื่องจากในฟุตเป็นเมนูที่มีอยู่แล้วค่ะ 

0.12 รบกวนเพิ่ม text ตรงวันที่ว่า ""ใช้โค้ดส่วนลดได้ถึง 30 มิ.ย. 69""  

0.50 voice over รบกวนไม่ต้องเมนชั่นถึงเกลือนะคะ 

0.55 สะกด Mega Plaza ตกหล่นตัว e ค่ะ ",https://drive.google.com/file/d/1spt5IKdWn1FFQItA0GBX0SwjV0oCwRtu/view?usp=drivesdk,ผ่าน,ผ่าน,,,,"TikTok Video: https://vt.tiktok.com/ZSCfwTPtr/
IG Reels: https://www.instagram.com/reel/DaKt_0ANJIS/",TikTok Video: #yPKeO+2fVcGX+RqQv4hAUbz4HOLvXrlO94zBI/rzp9cxG27L78yfw6qxfnftEdI=,"4,007",886,27,3,6,4,413,14,0,0,0,0,
34,Non-selected,s_eyelyn,https://www.tiktok.com/@s_eyelyn,"30,000",TRUE,,,"Mega Bangna
8 มิ.ย. 69 - 12.00",,,,,,,,,,,,,,,,,,,,,,,,,
35,Non-selected,famsrwpp,https://www.tiktok.com/@famsrwpp,"5,408",TRUE,,,"Mega Bangna
8 มิ.ย. 69 - 12.00",,,,,,,,,,,,,,,,,,,,,,,,,
9,Done,kittyivy_,https://www.tiktok.com/@kittyivy_,"17,900",TRUE,,TRUE,"Mega Bangna
23 มิ.ย. 69 - 15:00","finallyyyyชาวบางนามีMolly Tea Truckแล้วน้าาาาท้ายคริปแอบบอกส่วนลดใช้ได้ถึงสิ้นเดือนนี้เลยยยไปด่วนน💘🙌🏻 #mollytea #mollyteaTH #mollyteatruck",https://drive.google.com/drive/folders/1-Sr0TSO-VaFeyS9mFcu0gmKIRKORlS57,"- 0.00 เขียน Tea ผิด รบกวนแก้ไขจาก Tae เป็น Tea
- 0.25 เพิ่ม Text ลด 12%
- 0.26 เพิ่ม Text ตั้งแต่วันนี้ - 30 มิ.ย. 69 เท่านั้น! ",ตาม comment agency ค่ะ,https://drive.google.com/drive/folders/1-Sr0TSO-VaFeyS9mFcu0gmKIRKORlS57,ผ่าน,approved,,,,"TikTok Video: https://vt.tiktok.com/ZSCUg2CfJ/
IG Reels: https://www.instagram.com/reel/DaKrOZCwpDI/",TikTok Video: #IfJLfeRgr3HOtQ8uYnf4mKyURvXOOFOVS474AqbFKFzD/cm9GE7sUZotjFnxaks=,"9,231",1800,76,2,6,1,1940,75,2,0,0,0,
37,Non-selected,wanggorpaiher,https://www.tiktok.com/@wanggorpaiher,"8,968",TRUE,,FALSE,"Mega Bangna
8 มิ.ย. 69 - 12.00",,,,,,,,,,,,,,,,,,,,,,,,,
38,Non-selected,miss.marie39,https://www.tiktok.com/@miss.marie39,"15,800",TRUE,,,"Mega Bangna
8 มิ.ย. 69 - 12.00",,,,,,,,,,,,,,,,,,,,,,,,,
39,Non-selected,naneawitch,https://www.tiktok.com/@naneawitch,"152,000",TRUE,,,"Mega Bangna
8 มิ.ย. 69 - 12.00",,,,,,,,,,,,,,,,,,,,,,,,,
40,cancel,gimjipingping,https://www.tiktok.com/@gimjipingping,"185,200",TRUE,,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,
41,Non-selected,fffonnn23,https://www.tiktok.com/@fffonnn23,"18,200",TRUE,,FALSE,"Mega Bangna
8 มิ.ย. 69 - 12.00",,,,,,,,,,,,,,,,,,,,,,,,,
10,Done,saintststt,https://www.tiktok.com/@saintststt,"144,100",TRUE,,TRUE,"Mega Bangna
23 มิ.ย. 69 - 17:00","เดือนมิถุนายนนี้ Molly Tea Truck🚛💖 มาเสิร์ฟความสดชื่นที่ Mega Bangna พร้อมมุมถ่ายรูปสุดชิล 🧋🏖️

🎀รับส่วนลด 12% ทั้งออเดอร์ เพียงส่งโค้ด “MOLLYTEAMEGABANGNA” ไปที่ LINE OA ของ Molly Tea
*ใช้ได้เฉพาะสาขา Molly Tea Truck @ Mega Bangna ถึง 30 มิ.ย. 69 !

#mollytea #mollyteaTH #mollyteatruck #megabangna #ชานมมะลิ",https://drive.google.com/drive/folders/11N0YT3lzfpAKM4eEmXmW3wdgT0m1lXql,,"approved  

รบกวนเพิ่มเพลงค่ะ",,,,,,,"TikTok Video: https://vt.tiktok.com/ZSCh1tfU2/
IG Reels: https://www.instagram.com/reel/DaE7cEhzd0j/",TikTok Video: #AiDA4MYw7UWARBumFVtwYaGvNICtxyX1XC2stTPeZlMXbtayyjT69exdL/pRTD8=,"27,600",16800,859,1,23,9,2185,78,3,2,0,0,
43,Non-selected,abouteating,https://www.tiktok.com/@abouteating,"1,400",TRUE,,,"Mega Bangna
8 มิ.ย. 69 - 12.00",,,,,,,,,,,,,,,,,,,,,,,,,
